px,py,vx,vy,px_meas,py_meas,px_true,py_true,vx_truevy_true
118.92,11.9967,2.18004,-0.00141901,118.85,12.4063,118.628,12.2586,2.11648,0.0177712
120.699,12.2898,1.40629,0.486925,120.695,12.2918,120.743,12.3289,2.21139,0.128528
120.812,12.3014,1.92886,0.541529,120.934,12.1905,120.743,12.3289,2.21139,0.128528
123.56,12.8296,3.52337,0.540289,123.568,12.8297,122.95,12.5114,2.29835,0.246599
123.356,12.8083,2.59175,0.439785,123.142,12.7694,122.95,12.5114,2.29835,0.246599
124.904,12.7779,0.548451,-0.383898,124.894,12.7743,125.242,12.8125,2.37624,0.369827
125.208,12.8087,2.05784,-0.235869,125.376,12.9964,125.242,12.8125,2.37624,0.369827
127.847,13.3218,3.20799,1.04733,127.853,13.3273,127.609,13.2365,2.44434,0.495787
127.707,13.3069,2.62708,0.983799,127.506,13.153,127.609,13.2365,2.44434,0.495787
129.951,13.7006,1.86592,-0.0255834,129.947,13.6963,130.042,13.7853,2.50232,0.621879
130.072,13.7133,2.29306,0.0199192,130.334,13.781,130.042,13.7853,2.50232,0.621879
132.094,14.5016,1.78777,1.31377,132.092,14.507,132.53,14.458,2.55028,0.74543
132.221,14.5158,2.30603,1.37581,132.447,14.3423,132.53,14.458,2.55028,0.74543
135.069,15.0533,3.33507,-0.0286854,135.074,15.0475,135.066,15.2513,2.58865,0.863795
134.989,15.0446,2.81698,-0.0876243,135.127,14.6575,135.066,15.2513,2.58865,0.863795
137.563,16.2059,2.3787,2.02051,137.561,16.2147,137.639,16.1592,2.61821,0.974442
137.613,16.2121,2.59253,2.04901,137.653,16.5145,137.639,16.1592,2.61821,0.974442
140.331,17.0169,2.79728,-0.0548904,140.331,17.008,140.242,17.1733,2.63994,1.07503
140.347,17.0189,2.86748,-0.0459415,140.305,17.5379,140.242,17.1733,2.63994,1.07503
142.891,17.9847,2.27037,1.65817,142.888,17.9918,142.868,18.2829,2.65497,1.16346
142.895,17.9855,2.50638,1.69283,142.626,18.1458,142.868,18.2829,2.65497,1.16346
145.392,19.1653,2.47206,0.823314,145.392,19.1617,145.51,19.4754,2.66445,1.23795
